user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
S1C989	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium chelonae	GCF_001632805.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium chelonae	95.32	0.88	GCF_001632805.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium chelonae	95.32	0.88	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002356335.1, s__Mycobacterium stephanolepidis, 95.0, 93.8, 0.86; GCF_002013375.1, s__Mycobacterium sp002013375, 95.0, 87.53, 0.84; GCF_002013465.1, s__Mycobacterium sp002013465, 95.0, 87.44, 0.87; GCF_004924335.1, s__Mycobacterium salmoniphilum, 95.0, 87.38, 0.86; GCF_002013415.1, s__Mycobacterium sp002013415, 95.0, 87.34, 0.79; GCF_001456355.1, s__Mycobacterium saopaulense, 95.0, 85.56, 0.84; GCF_014204435.1, s__Mycobacterium chelonae_A, 95.0, 85.13, 0.83; GCF_002013895.1, s__Mycobacterium franklinii, 95.0, 85.05, 0.77; GCF_013449725.1, s__Mycobacterium sp013449725, 95.0, 84.36, 0.8; GCF_001605725.1, s__Mycobacterium immunogenum, 95.0, 84.24, 0.74; GCF_000069185.1, s__Mycobacterium abscessus, 95.0, 83.77, 0.74; GCF_009729205.1, s__Mycobacterium sp009729205, 95.0, 83.62, 0.75; GCF_011758805.1, s__Mycobacterium fluoranthenivorans, 95.0, 78.5, 0.24; GCF_002086115.1, s__Mycobacterium bacteremicum, 95.0, 78.42, 0.27; GCF_000613185.1, s__Mycobacterium cosmeticum, 95.0, 78.41, 0.28; GCF_900637205.1, s__Mycobacterium chitae, 95.0, 78.38, 0.26; GCF_002101965.1, s__Mycobacterium wolinskyi, 95.0, 78.37, 0.25; GCF_010731575.1, s__Mycobacterium monacense, 95.0, 78.37, 0.24; GCF_002101555.1, s__Mycobacterium canariasense, 95.0, 78.35, 0.26; GCF_004570325.1, s__Mycobacterium sp004570325, 95.0, 78.31, 0.24; GCF_000295855.1, s__Mycobacterium fortuitum, 95.0, 78.29, 0.26; GCF_900078665.2, s__Mycobacterium houstonense, 95.0, 78.28, 0.28; GCF_001953975.1, s__Mycobacterium sp001953975, 95.0, 78.27, 0.26; GCF_001499995.1, s__Mycobacterium sp001499995, 95.0, 78.25, 0.23; GCF_001886515.1, s__Mycobacterium sp001886515, 95.0, 78.24, 0.25; GCF_001494595.1, s__Mycobacterium sp001494595, 95.0, 78.23, 0.25; GCF_010731855.1, s__Mycobacterium anyangense, 95.0, 78.23, 0.25; GCF_001984215.1, s__Mycobacterium sp001984215, 95.0, 78.23, 0.23; GCF_000373905.1, s__Mycobacterium sp000373905, 95.0, 78.22, 0.23; GCF_010727475.1, s__Mycobacterium mageritense, 95.0, 78.22, 0.29; GCF_002157835.1, s__Mycobacterium dioxanotrophicus, 95.0, 78.21, 0.27; GCA_000762985.1, s__Mycobacterium rufum, 95.0, 78.21, 0.26; GCF_002723835.1, s__Mycobacterium sp002723835, 95.0, 78.21, 0.24; GCF_014218295.1, s__Mycobacterium litorale_B, 95.0, 78.19, 0.24; GCF_010731695.1, s__Mycobacterium litorale, 95.0, 78.18, 0.26; GCF_001500125.1, s__Mycobacterium sp001500125, 95.0, 78.18, 0.24; GCF_004362315.1, s__Mycobacterium sp004362315, 95.0, 78.17, 0.26; GCF_001954135.1, s__Mycobacterium sp001954135, 95.0, 78.16, 0.27; GCF_002086485.1, s__Mycobacterium aquaticum, 95.0, 78.16, 0.27; GCF_900108565.1, s__Mycobacterium rutilum, 95.0, 78.16, 0.25; GCF_000382405.1, s__Mycobacterium sp000382405, 95.0, 78.12, 0.24; GCF_002086695.1, s__Mycobacterium rhodesiae, 95.0, 78.11, 0.24; GCF_001665685.1, s__Mycobacterium sp001665685, 95.0, 78.11, 0.26; GCF_010731815.1, s__Mycobacterium arabiense, 95.0, 78.09, 0.25; GCF_000612725.1, s__Mycobacterium austroafricanum, 95.0, 78.08, 0.25; GCF_001044255.1, s__Mycobacterium chubuense, 95.8643, 78.08, 0.26; GCF_001570425.1, s__Mycobacterium brisbanense, 95.0, 78.07, 0.27; GCF_000230935.1, s__Mycobacterium rhodesiae_B, 95.0, 78.07, 0.25; GCF_001457595.1, s__Mycobacterium smegmatis, 95.0, 78.06, 0.28; GCF_010725885.1, s__Mycobacterium tokaiense, 95.0, 78.05, 0.25; GCF_008329905.1, s__Mycobacterium sp008329905, 95.0, 78.05, 0.25; GCF_900240945.1, s__Mycobacterium sp900240945, 95.0, 78.05, 0.24; GCF_001187505.1, s__Mycobacterium goodii_B, 95.0, 78.05, 0.28; GCF_001044235.1, s__Mycobacterium chlorophenolicum, 95.8643, 78.05, 0.26; GCF_008329645.1, s__Mycobacterium grossiae, 95.0, 78.05, 0.26; GCF_001021385.1, s__Mycobacterium sp001021385, 95.0, 78.04, 0.23; GCF_001499965.1, s__Mycobacterium sp001499965, 95.0, 78.04, 0.26; GCF_011694515.1, s__Mycobacterium sp011694515, 95.0, 78.04, 0.25; GCF_002101595.1, s__Mycobacterium celatum, 95.0, 78.03, 0.24; GCF_010729895.1, s__Mycobacterium confluentis, 95.0, 78.01, 0.25; GCF_008329605.1, s__Mycobacterium sp008329605, 95.0, 78.01, 0.24; GCF_013404075.1, s__Mycobacterium sp013404075, 95.0, 78.0, 0.25; GCF_002887815.1, s__Mycobacterium sp002887815, 95.0, 77.99, 0.24; GCF_010726645.1, s__Mycobacterium duvalii, 95.0, 77.99, 0.23; GCF_001665575.1, s__Mycobacterium sp001665575, 95.0, 77.98, 0.22; GCF_007096635.1, s__Mycobacterium sp007096635, 95.0, 77.98, 0.23; GCF_004745805.1, s__Mycobacterium sp004745805, 95.0, 77.97, 0.23; GCF_001044245.1, s__Mycobacterium obuense, 95.0, 77.96, 0.24; GCF_000559085.1, s__Mycobacterium aromaticivorans, 95.0, 77.96, 0.23; GCF_000266905.1, s__Mycobacterium chubuense_A, 95.0, 77.96, 0.25; GCF_002838065.1, s__Mycobacterium sp002838065, 95.0, 77.94, 0.24; GCA_903862565.1, s__Mycobacterium sp903862565, 95.0, 77.92, 0.21; GCA_002007745.1, s__Mycobacterium litorale_A, 95.0, 77.92, 0.25; GCF_001667265.1, s__Mycobacterium sp001667265, 95.0, 77.9, 0.25; GCF_001667505.1, s__Mycobacterium sp001667505, 95.0, 77.89, 0.24; GCF_001665535.1, s__Mycobacterium sp001665535, 95.0, 77.88, 0.23; GCA_903884065.1, s__Mycobacterium sp903884065, 95.0, 77.88, 0.25; GCF_002798385.1, s__Mycobacterium goodii_A, 95.0, 77.87, 0.25; GCF_001500025.1, s__Mycobacterium sp001500025, 95.0, 77.87, 0.22; GCF_001500065.1, s__Mycobacterium sp001500065, 95.0, 77.86, 0.23; GCF_004354905.1, s__Mycobacterium eburneum, 95.0, 77.86, 0.26; GCF_010731895.1, s__Mycobacterium helvum, 95.0, 77.85, 0.24; GCF_010725725.1, s__Mycobacterium pulveris, 95.0, 77.85, 0.22; GCF_001499855.1, s__Mycobacterium sp001499855, 95.0, 77.84, 0.24; GCF_002101735.1, s__Mycobacterium kyorinense, 95.0, 77.83, 0.22; GCF_002592005.1, s__Mycobacterium palauense, 95.0, 77.82, 0.25; GCF_010726245.1, s__Mycobacterium aichiense, 95.0, 77.82, 0.25; GCF_010731795.1, s__Mycobacterium celeriflavum, 95.0, 77.82, 0.23; GCF_000328565.1, s__Mycobacterium sp000328565, 95.0, 77.81, 0.22; GCF_001672895.1, s__Mycobacterium sp001672895, 95.0, 77.81, 0.25; GCF_000620625.1, s__Mycobacterium sp000620625, 95.0, 77.8, 0.26; GCF_010726085.1, s__Mycobacterium moriokaense, 95.0, 77.79, 0.22; GCF_002553505.1, s__Mycobacterium agri, 95.0, 77.75, 0.23; GCF_003201655.1, s__Mycobacterium moriokaense_A, 95.0, 77.73, 0.22; GCF_010728725.1, s__Mycobacterium branderi, 95.0, 77.73, 0.24; GCF_000230895.2, s__Mycobacterium rhodesiae_A, 95.0, 77.73, 0.22; GCF_003284965.1, s__Mycobacterium sp003284965, 95.0, 77.68, 0.23; GCF_001672775.1, s__Mycobacterium kyorinense_A, 95.0, 77.64, 0.21; GCF_002102185.1, s__Mycobacterium fragae, 95.0, 77.54, 0.21	96.09	11	N/A	N/A
S2C1011	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__Albidovulum sp002440625	GCA_002440625.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__Albidovulum sp002440625	99.14	0.98	GCA_002440625.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__Albidovulum sp002440625	99.14	0.98	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002973535.1, s__Albidovulum denitrificans, 95.0, 81.29, 0.72; GCA_011620265.1, s__Albidovulum sp011620265, 95.0, 79.6, 0.62; GCA_002280515.1, s__Albidovulum sp002280515, 95.0, 79.59, 0.6; GCA_008933605.1, s__Albidovulum sp008933605, 95.0, 79.5, 0.53; GCA_002841115.1, s__Albidovulum sp002841115, 95.0, 79.22, 0.51; GCF_900302475.1, s__Albidovulum aquaemixtae, 95.0, 77.62, 0.48; GCF_002927635.1, s__Albidovulum inexpectatum, 95.0, 77.51, 0.31	16.08	11	N/A	N/A
S2C1022	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	21.28	11	0.8370991741742891	N/A
S2C1041	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__UBA7672;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__UBA7672;s__	taxonomic classification defined by topology and ANI	N/A	GCA_903831485.1, s__UBA7672 sp903831485, 95.0, 81.16, 0.69; GCA_002280725.1, s__UBA7672 sp002280725, 95.0, 81.04, 0.58; GCA_002483135.1, s__UBA7672 sp002483135, 95.0, 80.71, 0.49; GCA_903842595.1, s__UBA7672 sp903842595, 95.0, 80.53, 0.56	30.3	11	0.9501186163890575	Genome has more than 67.5% of markers with multiple hits
S2C1048	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__SHZI01;s__	N/A	N/A	N/A	N/A	N/A	GCA_009692345.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__SHZI01;s__SHZI01 sp009692345	77.66	0.31	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	89.5	11	0.9392453130629654	N/A
S2C1120	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Nordella;s__	N/A	N/A	N/A	N/A	N/A	GCF_005502925.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Nordella;s__Nordella sp005502925	92.55	0.84	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Nordella;s__	taxonomic classification defined by topology and ANI	N/A	GCF_011046735.1, s__Nordella sp011046735, 95.0, 85.68, 0.67; GCF_003576695.1, s__Nordella sp003576695, 95.0, 84.11, 0.66; GCF_003574785.1, s__Nordella sp003574785, 95.0, 83.54, 0.62; GCA_005884715.1, s__Nordella sp005884715, 95.0, 82.56, 0.71	92.44	11	0.9955445474534088	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S2C1150	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	GCF_900167395.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	95.79	0.88	GCF_900167395.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	95.79	0.88	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009833125.1, s__Nitrosomonas sp009833125, 95.0, 80.57, 0.54; GCF_900116685.1, s__Nitrosomonas eutropha_A, 95.0, 79.53, 0.54; GCF_003201195.1, s__Nitrosomonas eutropha, 95.0, 79.52, 0.52; GCA_014584635.1, s__Nitrosomonas eutropha_B, 95.0, 78.61, 0.52; GCF_900107165.1, s__Nitrosomonas halophila, 95.0, 76.97, 0.2	74.59	11	N/A	N/A
S2C1169	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__JACTMJ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_014584705.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__JACTMJ01;s__JACTMJ01 sp014584705	81.58	0.84	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	17.63	11	0.9747775161302328	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S2C1177	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp001427285	GCF_001427285.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp001427285	97.11	0.81	GCF_001427285.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp001427285	97.11	0.81	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001897075.1, s__Mesorhizobium sp001897075, 95.0, 88.54, 0.63; GCF_001427385.1, s__Mesorhizobium sp001427385, 95.0, 83.72, 0.64; GCF_004801285.1, s__Mesorhizobium composti, 95.0, 80.09, 0.44; GCF_004791585.1, s__Mesorhizobium sp004791585, 95.0, 80.0, 0.44; GCF_014207355.1, s__Mesorhizobium sangaii, 95.0, 79.85, 0.45; GCF_900199455.1, s__Mesorhizobium sp900199455, 95.0, 79.83, 0.44; GCF_001686985.1, s__Mesorhizobium amorphae_B, 95.0, 79.83, 0.46; GCF_006440735.1, s__Mesorhizobium sp006440735, 95.0, 79.83, 0.44; GCF_004791025.1, s__Mesorhizobium sp004791025, 95.0, 79.83, 0.48; GCF_003952505.1, s__Mesorhizobium sp003952505, 95.0, 79.82, 0.44; GCF_000824785.1, s__Mesorhizobium plurifarium, 95.0, 79.82, 0.45; GCF_000824825.2, s__Mesorhizobium sp000824825, 95.0, 79.79, 0.41; GCF_003353565.1, s__Mesorhizobium sp003353565, 95.0, 79.76, 0.47; GCA_004963905.1, s__Mesorhizobium sp004963905, 95.0, 79.75, 0.44; GCF_003601975.1, s__Mesorhizobium waimense, 95.0, 79.75, 0.47; GCF_001425625.1, s__Mesorhizobium sp001425625, 95.0, 79.75, 0.45; GCF_003952385.1, s__Mesorhizobium sp003952385, 95.0, 79.74, 0.42; GCF_002356515.1, s__Mesorhizobium loti_C, 95.0, 79.74, 0.46; GCF_003601985.1, s__Mesorhizobium jarvisii, 95.0, 79.73, 0.45; GCF_900115245.1, s__Mesorhizobium sp900115245, 95.0, 79.73, 0.43; GCF_000688075.1, s__Mesorhizobium sp000688075, 95.0, 79.73, 0.46; GCF_003253745.1, s__Mesorhizobium kowhaii, 95.0, 79.72, 0.46; GCF_000009625.1, s__Mesorhizobium japonicum, 95.0, 79.72, 0.45; GCF_006440675.1, s__Mesorhizobium sp006440675, 95.0, 79.71, 0.45; GCF_003289945.1, s__Mesorhizobium hawassense, 95.0, 79.71, 0.45; GCF_004791165.1, s__Mesorhizobium sp004791165, 95.0, 79.71, 0.44; GCF_013170705.1, s__Mesorhizobium loti_D, 95.0, 79.69, 0.46; GCF_000425965.1, s__Mesorhizobium sp000425965, 95.0, 79.69, 0.44; GCF_006442965.1, s__Mesorhizobium sp006442965, 95.0, 79.67, 0.45; GCF_006440775.1, s__Mesorhizobium sp006440775, 95.0, 79.66, 0.44; GCF_008727715.1, s__Mesorhizobium terrae, 95.0, 79.66, 0.44; GCF_000350085.1, s__Mesorhizobium metallidurans, 95.0, 79.66, 0.44; GCF_002270415.1, s__Mesorhizobium sophorae, 95.0, 79.66, 0.44; GCA_002200945.1, s__Mesorhizobium amorphae_A, 95.0, 79.66, 0.46; GCF_000176035.2, s__Mesorhizobium opportunistum, 95.0, 79.65, 0.45; GCF_000359125.1, s__Mesorhizobium sp000359125, 95.0, 79.65, 0.44; GCF_003952485.1, s__Mesorhizobium sp003952485, 95.0, 79.65, 0.45; GCF_004919685.1, s__Mesorhizobium norvegicum, 95.0, 79.65, 0.48; GCF_000824805.1, s__Mesorhizobium sp000824805, 95.0, 79.64, 0.45; GCF_002294725.1, s__Mesorhizobium sp002294725, 95.0, 79.64, 0.44; GCA_004017535.1, s__Mesorhizobium sp004017535, 95.0, 79.63, 0.44; GCF_900103325.1, s__Mesorhizobium qingshengii, 95.0, 79.63, 0.45; GCF_000472705.1, s__Mesorhizobium erdmanii, 95.0, 79.63, 0.44; GCF_013520985.1, s__Mesorhizobium sp013520985, 95.0, 79.63, 0.45; GCF_006442815.1, s__Mesorhizobium sp006442815, 95.0, 79.63, 0.45; GCF_900472295.1, s__Mesorhizobium sp900472295, 95.0, 79.62, 0.46; GCF_007830515.1, s__Mesorhizobium tianshanense, 95.0, 79.61, 0.44; GCF_003952425.1, s__Mesorhizobium sp003952425, 95.0, 79.6, 0.45; GCF_002295115.1, s__Mesorhizobium sp002295115, 95.0, 79.6, 0.45; GCF_004016445.2, s__Mesorhizobium sp004016445, 95.0, 79.6, 0.45; GCA_004020545.1, s__Mesorhizobium sp004020545, 95.0, 79.6, 0.44; GCF_900472585.1, s__Mesorhizobium sp900472585, 95.0, 79.6, 0.44; GCF_003863365.1, s__Mesorhizobium tamadayense, 95.0, 79.59, 0.43; GCF_002284565.1, s__Mesorhizobium mediterraneum, 95.0, 79.59, 0.44; GCF_000502715.1, s__Mesorhizobium sp000502715, 95.0, 79.59, 0.44; GCF_003952365.1, s__Mesorhizobium sp003952365, 95.0, 79.57, 0.43; GCF_002295065.1, s__Mesorhizobium sp002295065, 95.0, 79.56, 0.45; GCF_002294985.1, s__Mesorhizobium sp002294985, 95.0, 79.56, 0.42; GCF_000824845.1, s__Mesorhizobium sp000824845, 95.0, 79.56, 0.44; GCF_000427725.1, s__Mesorhizobium sp000427725, 95.0, 79.55, 0.45; GCF_013170825.1, s__Mesorhizobium sp013170825, 95.0, 79.55, 0.46; GCF_900099905.1, s__Mesorhizobium muleiense, 95.0, 79.54, 0.43; GCF_003952465.1, s__Mesorhizobium sp003952465, 95.0, 79.54, 0.45; GCF_004363725.1, s__Mesorhizobium defluvii, 95.0, 79.53, 0.38; GCF_001510895.1, s__Mesorhizobium loti_A, 95.0, 79.53, 0.44; GCA_004962245.1, s__Mesorhizobium sp004962245, 95.0, 79.52, 0.43; GCF_003148495.1, s__Mesorhizobium loti, 95.0, 79.52, 0.45; GCF_900156895.1, s__Mesorhizobium prunaredense, 95.0, 79.51, 0.42; GCF_004022705.2, s__Mesorhizobium sp004022705, 95.0, 79.5, 0.45; GCF_003289965.1, s__Mesorhizobium sp003289965, 95.0, 79.49, 0.45; GCF_006442795.1, s__Mesorhizobium sp006442795, 95.0, 79.48, 0.43; GCF_013170805.1, s__Mesorhizobium sp013170805, 95.0, 79.48, 0.46; GCA_004020645.1, s__Mesorhizobium sp004020645, 95.0, 79.48, 0.42; GCF_006439355.1, s__Mesorhizobium sp006439355, 95.0, 79.48, 0.45; GCF_000502835.1, s__Mesorhizobium sp000502835, 95.0, 79.47, 0.42; GCF_001854785.1, s__Mesorhizobium sp001854785, 95.0, 79.46, 0.43; GCF_007003975.1, s__Mesorhizobium sp007003975, 95.0, 79.45, 0.46; GCF_002284575.1, s__Mesorhizobium temperatum, 95.0, 79.43, 0.43; GCA_004020105.1, s__Mesorhizobium sp004020105, 95.0, 79.42, 0.44; GCF_004010325.2, s__Mesorhizobium sp004010325, 95.0, 79.42, 0.44; GCF_000503055.1, s__Mesorhizobium sp000503055, 95.0, 79.4, 0.42; GCF_003034915.1, s__Mesorhizobium helmanticense, 95.0, 79.37, 0.44; GCF_003952525.1, s__Mesorhizobium sp002294945, 95.0, 79.36, 0.42; GCA_004962925.1, s__Mesorhizobium sp004962925, 95.0, 79.35, 0.4; GCA_004020365.1, s__Mesorhizobium sp004020365, 95.0, 79.32, 0.43; GCA_004020875.1, s__Mesorhizobium sp004020875, 95.0, 79.32, 0.44; GCF_002294995.1, s__Mesorhizobium sp002294995, 95.0, 79.31, 0.42; GCA_001899205.1, s__Mesorhizobium sp001899205, 95.0, 79.3, 0.44; GCA_004020315.1, s__Mesorhizobium sp004020315, 95.0, 79.29, 0.42; GCF_002284535.1, s__Mesorhizobium wenxiniae, 95.0, 79.28, 0.42; GCA_005063415.1, s__Mesorhizobium sp005063415, 95.0, 79.25, 0.39; GCF_014201615.1, s__Mesorhizobium lusatiense, 95.0, 79.2, 0.35; GCF_001427025.1, s__Mesorhizobium sp001427025, 95.0, 79.1, 0.38; GCA_003963455.1, s__Mesorhizobium sp003963455, 95.0, 78.98, 0.38; GCF_004136315.1, s__Mesorhizobium sp004136315, 95.0, 78.82, 0.39; GCF_002858745.1, s__Mesorhizobium loti_F, 95.0, 78.76, 0.39; GCF_002075885.1, s__Mesorhizobium manganicum, 95.0, 78.7, 0.34; GCF_001303895.1, s__Mesorhizobium sp001303895, 95.0, 78.62, 0.4; GCA_003242525.1, s__Mesorhizobium sp003242525, 95.0, 77.91, 0.25	47.57	11	N/A	N/A
S2C1178	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__	N/A	N/A	N/A	N/A	N/A	GCF_010093345.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A yeongjuensis	90.1	0.82	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__	taxonomic classification defined by topology and ANI	N/A	GCF_010093305.1, s__Pseudoxanthomonas_A sacheonensis, 95.0, 83.54, 0.77; GCF_010119615.1, s__Pseudoxanthomonas_A gei, 95.0, 83.43, 0.72; GCF_900104085.1, s__Pseudoxanthomonas_A sp900104085, 95.0, 83.35, 0.78; GCA_004173415.1, s__Pseudoxanthomonas_A sp004173415, 95.0, 82.99, 0.56; GCF_010211755.1, s__Pseudoxanthomonas_A sangjuensis, 95.0, 81.38, 0.62; GCF_900215535.1, s__Pseudoxanthomonas_A wuyuanensis, 95.0, 81.26, 0.65; GCF_010093385.1, s__Pseudoxanthomonas_A mexicana, 95.0, 81.22, 0.59; GCF_006542425.1, s__Pseudoxanthomonas_A sp006542425, 95.0, 81.19, 0.65; GCF_001427635.1, s__Pseudoxanthomonas_A sp001427635, 95.0, 81.07, 0.62; GCF_900104255.1, s__Pseudoxanthomonas_A sp900104255, 95.0, 81.06, 0.59; GCF_001556105.1, s__Pseudoxanthomonas_A mexicana_A, 95.0, 81.01, 0.58; GCF_006716465.1, s__Pseudoxanthomonas_A sp006716465, 95.0, 80.84, 0.6; GCF_010093445.1, s__Pseudoxanthomonas_A japonensis, 95.0, 80.8, 0.63; GCF_010211745.1, s__Pseudoxanthomonas_A kalamensis, 95.0, 80.79, 0.52; GCF_001427585.1, s__Pseudoxanthomonas_A sp001427585, 95.0, 80.68, 0.61; GCF_004284655.1, s__Pseudoxanthomonas_A spadix_A, 95.0, 80.65, 0.54; GCA_002863005.1, s__Pseudoxanthomonas_A sp002863005, 95.0, 80.63, 0.58; GCF_900167565.1, s__Pseudoxanthomonas_A indica, 95.0, 80.59, 0.58; GCF_900116385.1, s__Pseudoxanthomonas_A sp900116385, 95.0, 80.59, 0.59; GCF_004284195.1, s__Pseudoxanthomonas_A sp004284195, 95.0, 80.35, 0.57; GCF_003703395.1, s__Pseudoxanthomonas_A spadix, 95.0, 80.13, 0.49; GCF_900109775.1, s__Pseudoxanthomonas_A sp900109775, 95.0, 80.09, 0.58; GCF_004122095.1, s__Pseudoxanthomonas_A composti, 95.0, 80.08, 0.55; GCF_001431405.1, s__Pseudoxanthomonas_A dokdonensis, 95.0, 79.93, 0.53	30.2	11	0.9950252128486877	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S2C1219	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	84.65	11	0.7373694283997655	N/A
S2C1229	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Palsa-955;s__	N/A	N/A	N/A	N/A	N/A	GCF_003721595.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Palsa-955;s__Palsa-955 sp003721595	76.56	0.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Palsa-955;s__	taxonomic classification defined by topology and ANI	N/A	GCF_008710285.1, s__Palsa-955 sp008710285, 95.0, 76.27, 0.04	24.3	11	0.9528999956237921	N/A
